300,600
300,300
10,610
10,30
30,60
300,200
500,500
500,100
3,5
20,20
35,52
20,20
23,25
201,20
3,5
20,208
37,75
10,270
10,610
33,95
210,220
38,85
320,20
13,51
20,20
32,25
60,20
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
220,20
38,85
10,20
10,610
3,5
20,20
35,52
20,20
23,25
201,20
10,610
3,5
20,208
37,75
10,270
33,95
210,220
38,85
320,20
13,51
20,20
32,25
60,20
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
220,20
38,85
10,20
3,5
20,20
35,52
20,20
23,25
201,20
3,5
20,208
37,75
10,270
33,95
210,220
38,85
320,20
13,51
20,20
32,25
60,20
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
220,20
38,85
10,20
3,5
20,20
35,52
20,20
23,25
201,20
3,5
20,208
37,75
10,270
33,95
210,220
38,85
320,20
13,51
20,20
32,25
60,20
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
220,20
38,85
10,20
3,5
20,20
35,52
20,20
23,25
201,20
3,5
20,208
37,75
10,270
33,95
210,220
38,85
320,20
13,51
20,20
32,25
60,20
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
220,20
38,85
10,20
3,5
20,20
35,52
20,20
23,25
201,20
3,5
20,208
37,75
10,270
33,95
210,220
38,85
320,20
13,51
20,20
32,25
60,20
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
220,20
38,85
10,20
3,5
20,20
35,52
20,20
23,25
201,20
3,5
20,208
37,75
10,270
33,95
210,220
38,85
320,20
13,51
20,20
32,25
60,20
33,35
50,20
34,54
40,20
35,55
30,20
36,65
20,20
37,75
